# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 0.5 and log2-fold change cutoff 0 in experiment E-PROT-59
# Timestamp: Mon, 15-Dec-2025 20:43:14
Gene ID	Gene Name	'clear cell renal cell carcinoma' vs 'normal' .foldChange	'clear cell renal cell carcinoma' vs 'normal'.pValue	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma' .foldChange	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma'.pValue
ENSG00000000419	DPM1			0.2	0.384616322
ENSG00000001084	GCLC	-0.2	0.153486329		
ENSG00000002549	LAP3	0.2	0.442315492	0.5	0.099428899
ENSG00000002586	CD99	-0.2	0.121428478		
ENSG00000002834	LASP1	-0.1	0.3932501		
ENSG00000004455	AK2	0.8	2.78E-7	-1.0	5.25E-5
ENSG00000004864	SLC25A13	1.1	0.129056959		
ENSG00000005022	SLC25A5	2.1	1.52E-8	-2.7	5.92E-6
ENSG00000005381	MPO			-1.4	0.014194976
ENSG00000006125	AP2B1	0.2	0.084534344	-0.7	8.65189E-4
ENSG00000006625	GGCT	-1.1	0.062069458	1.1	0.247797965
ENSG00000008294	SPAG9	1.6	2.87E-5	-0.8	0.00753705
ENSG00000010671	BTK	-0.2	0.301607151	-1.1	0.004614185
ENSG00000011304	PTBP1	-0.7	2.24E-5	0.3	0.058851743
ENSG00000012223	LTF	-0.3	0.464445549	0.8	0.075639248
ENSG00000013016	EHD3	-0.1	0.388801603		
ENSG00000013364	MVP	-1.5	1.9E-6		
ENSG00000014123	UFL1	-0.1	0.291112053	-0.2	0.089114062
ENSG00000014216	CAPN1	-0.5	0.016895514	-0.8	0.004195797
ENSG00000014641	MDH1	1.0	1.83E-5	-0.8	1.53221E-4
ENSG00000016391	CHDH	1.7	8.33E-5	-2.0	6.96E-5
ENSG00000021355	SERPINB1	-1.1	1.69E-6	0.4	0.017242117
ENSG00000022267	FHL1	-1.1	3.32E-6	-1.3	1.41E-6
ENSG00000025772	TOMM34			0.4	0.329617428
ENSG00000026025	VIM	-2.1	2.26E-14	0.7	2.90088E-4
ENSG00000026297	RNASET2	-0.9	0.034272597		
ENSG00000029363	BCLAF1			-0.8	0.019169587
ENSG00000031698	SARS1	-0.5	0.009830132	-0.5	0.003249392
ENSG00000033627	ATP6V0A1	1.7	0.09179663	-1.3	0.054401011
ENSG00000035403	VCL	0.2	0.145178827	0.9	2.08E-5
ENSG00000035687	ADSS2	-0.2	0.270481542		
ENSG00000036257	CUL3	-0.2	0.049714933	0.2	0.191252647
ENSG00000038427	VCAN			1.9	0.011843392
ENSG00000039068	CDH1	-1.1	2.8E-5	1.1	5.37E-5
ENSG00000039123	MTREX	1.3	7.7E-5		
ENSG00000039537	C6	-1.1	0.001446682	0.3	0.006108812
ENSG00000041357	PSMA4	-0.8	2.71E-7	0.8	1.74019E-4
ENSG00000041982	TNC	-1.2	0.019422347		
ENSG00000042493	CAPG	-1.5	5.07E-9		
ENSG00000046647	GEMIN8	0.9	8.68E-5		
ENSG00000047249	ATP6V1H	1.5	1.66E-9	-0.5	0.001941509
ENSG00000047849	MAP4	-0.3	0.037466787	-0.3	0.03483392
ENSG00000048392	RRM2B			0.3	0.226253611
ENSG00000053371	AKR7A2	0.8	0.014578727	-0.3	0.460525166
ENSG00000054118	THRAP3	-0.6	0.031674842		
ENSG00000055044	NOP58			-1.7	0.00152386
ENSG00000055163	CYFIP2	-1.0	0.024863622	-1.0	0.213019761
ENSG00000055957	ITIH1	-1.5	9.46884E-4	1.7	4.30529E-4
ENSG00000057608	GDI2			0.1	0.425077686
ENSG00000059588	TARBP1			0.4	0.289931354
ENSG00000059691	GATB			-0.5	0.360954213
ENSG00000060971	ACAA1	3.3	3.2E-9	-1.5	0.002545269
ENSG00000062485	CS	0.8	6.02233E-4	-1.8	1.24256E-4
ENSG00000063046	EIF4B	-0.4	0.030697289		
ENSG00000063241	ISOC2	0.9	1.8E-8	-0.9	0.027503534
ENSG00000063245	EPN1	0.5	0.085410987		
ENSG00000063854	HAGH	1.5	1.0E-5	-0.8	0.00334867
ENSG00000064666	CNN2	-0.7	4.89E-6		
ENSG00000065135	GNAI3	-0.4	0.002690938		
ENSG00000065518	NDUFB4	2.0	2.52E-5		
